Contig	final_assembly.fasta/final_pure_reads_1.fastq RPKM
NODE_133_length_4062_cov_0.944600	15.607809
NODE_134_length_4058_cov_2.613839	59.771877
NODE_135_length_4056_cov_6.565284	629.27527
NODE_136_length_4045_cov_2.336396	65.07104
NODE_137_length_4045_cov_1.028076	14.61677
NODE_138_length_4035_cov_1.451894	24.539352
NODE_139_length_4024_cov_1.934822	91.61028
NODE_140_length_4018_cov_15.582627	929.1719
NODE_141_length_4014_cov_1.167739	23.425474
NODE_142_length_4011_cov_4.781926	71.66098
NODE_143_length_4002_cov_1.086710	13.349837
NODE_144_length_4001_cov_4.677594	77.53743
NODE_145_length_3993_cov_1.269012	24.886665
NODE_146_length_3989_cov_1.154583	17.947083
NODE_147_length_3988_cov_1.018389	17.415714
NODE_148_length_3985_cov_2.706843	108.95251
NODE_149_length_3984_cov_2.021519	36.207413
NODE_150_length_3976_cov_1.747986	32.249126
NODE_151_length_3973_cov_1.035621	13.805876
NODE_152_length_3961_cov_1.737350	31.11237
NODE_153_length_3960_cov_1.848422	25.27394
NODE_154_length_3945_cov_1.384233	27.898016
NODE_155_length_3932_cov_32.861761	1017.79443
NODE_156_length_3930_cov_1.288982	14.863228
NODE_157_length_3922_cov_2.112516	41.22969
NODE_158_length_3919_cov_1.152162	19.358253
NODE_159_length_3917_cov_1.153562	19.731857
NODE_160_length_3916_cov_1.898390	93.31824
NODE_161_length_3916_cov_1.815255	52.934902
NODE_162_length_3907_cov_1.651852	31.45122
NODE_163_length_3906_cov_1.395872	19.240309
NODE_164_length_3898_cov_4.875895	81.04825
NODE_165_length_3895_cov_2.990180	70.77752
NODE_166_length_3880_cov_1.700773	44.52171
NODE_167_length_3873_cov_1.451148	23.266705
NODE_168_length_3869_cov_1.297702	17.951374
NODE_169_length_3868_cov_2.922481	67.03579
NODE_170_length_3860_cov_1.256630	34.325546
NODE_171_length_3858_cov_4.006433	144.85135
NODE_172_length_3858_cov_2.250067	66.28635
NODE_173_length_3853_cov_1.233494	23.110153
NODE_174_length_3852_cov_0.974497	13.03751
NODE_175_length_3844_cov_1.000538	16.770926
NODE_176_length_3839_cov_0.806843	21.524431
NODE_177_length_3830_cov_1.129895	20.459063
NODE_178_length_3812_cov_1.467843	30.833506
NODE_179_length_3807_cov_4.812772	112.64332
NODE_180_length_3804_cov_1.088387	22.846052
NODE_181_length_3800_cov_1.793085	28.306437
NODE_182_length_3798_cov_1.554345	29.446693
NODE_183_length_3793_cov_1.898800	46.106323
NODE_184_length_3786_cov_1.336157	24.930275
NODE_185_length_3765_cov_1.432380	16.64982
NODE_186_length_3764_cov_1.085235	18.262892
NODE_187_length_3760_cov_3.841178	71.51892
NODE_188_length_3754_cov_3.289771	68.88175
